@RELATION svmModel
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE features13 NUMERIC
@ATTRIBUTE features14 NUMERIC
@ATTRIBUTE features15 NUMERIC
@ATTRIBUTE features16 NUMERIC
@ATTRIBUTE features17 NUMERIC
@ATTRIBUTE features18 NUMERIC
@ATTRIBUTE features19 NUMERIC
@ATTRIBUTE features20 NUMERIC
@ATTRIBUTE features21 NUMERIC
@ATTRIBUTE features22 NUMERIC
@ATTRIBUTE features23 NUMERIC
@ATTRIBUTE features24 NUMERIC
@ATTRIBUTE features25 NUMERIC
@ATTRIBUTE features26 NUMERIC
@ATTRIBUTE features27 NUMERIC
@ATTRIBUTE features28 NUMERIC
@ATTRIBUTE features29 NUMERIC
@ATTRIBUTE features30 NUMERIC
@ATTRIBUTE features31 NUMERIC
@ATTRIBUTE features32 NUMERIC
@ATTRIBUTE features33 NUMERIC
@ATTRIBUTE features34 NUMERIC
@ATTRIBUTE features35 NUMERIC
@ATTRIBUTE features36 NUMERIC
@ATTRIBUTE features37 NUMERIC
@ATTRIBUTE features38 NUMERIC
@ATTRIBUTE features39 NUMERIC
@ATTRIBUTE features40 NUMERIC
@ATTRIBUTE features41 NUMERIC
@ATTRIBUTE features42 NUMERIC
@ATTRIBUTE features43 NUMERIC
@ATTRIBUTE features44 NUMERIC
@ATTRIBUTE features45 NUMERIC
@ATTRIBUTE features46 NUMERIC
@ATTRIBUTE features47 NUMERIC
@ATTRIBUTE features48 NUMERIC
@ATTRIBUTE features49 NUMERIC
@ATTRIBUTE features50 NUMERIC
@ATTRIBUTE features51 NUMERIC
@ATTRIBUTE features52 NUMERIC
@ATTRIBUTE features53 NUMERIC
@ATTRIBUTE features54 NUMERIC
@ATTRIBUTE features55 NUMERIC
@ATTRIBUTE features56 NUMERIC
@ATTRIBUTE features57 NUMERIC
@ATTRIBUTE features58 NUMERIC
@ATTRIBUTE features59 NUMERIC
@ATTRIBUTE features60 NUMERIC
@ATTRIBUTE features61 NUMERIC
@ATTRIBUTE features62 NUMERIC
@ATTRIBUTE features63 NUMERIC
@ATTRIBUTE features64 NUMERIC
@ATTRIBUTE features65 NUMERIC
@ATTRIBUTE features66 NUMERIC
@ATTRIBUTE features67 NUMERIC
@ATTRIBUTE features68 NUMERIC
@ATTRIBUTE class {sirens,music,speech}

@DATA
0.015124,0.042591,3.300667,0.083530,0.164001,0.064931,0.010083,0.025575,-33.255897,1.615488,-0.490975,0.045572,-0.644021,-1.093800,-0.557541,0.024096,-0.044632,0.240771,0.637082,0.209842,-0.310961,0.000915,0.000477,0.000889,0.009804,0.080559,0.000899,0.001448,0.000106,0.005790,0.046576,0.003842,0.001290,0.033332,0.008330,0.030751,0.029344,0.019119,0.030020,0.040159,0.020486,0.011462,3.062792,0.537509,0.416448,0.294230,0.238988,0.216254,0.191490,0.158267,0.148006,0.182713,0.152804,0.130411,0.101906,0.000343,0.000216,0.000347,0.007367,0.020724,0.000397,0.000748,0.000075,0.002920,0.028789,0.001935,0.000557,0.007402,sirens
0.052758,0.048997,3.214913,0.130067,0.152992,0.647987,0.004661,0.098775,-28.553930,0.297649,-0.107642,0.207243,-0.160713,0.427328,0.438811,0.032659,-0.318431,-0.330376,0.295269,0.261758,-0.141922,0.001268,0.000399,0.007739,0.000897,0.054930,0.009808,0.018353,0.000497,0.005673,0.000927,0.002985,0.003248,0.019465,0.019397,0.035163,0.157532,0.021219,0.027498,0.262110,0.003939,0.038739,3.418592,0.494736,0.269117,0.359434,0.298740,0.229964,0.213688,0.214575,0.223948,0.230260,0.203817,0.175555,0.160621,0.001773,0.000352,0.011908,0.000927,0.033744,0.010470,0.037880,0.000643,0.006396,0.001446,0.004755,0.004140,0.012101,sirens
0.056955,0.026501,3.197637,0.114032,0.158766,0.195884,0.024902,0.066718,-30.610528,0.579559,-0.377848,1.399739,0.066885,0.012847,0.194428,-0.061159,0.157294,0.067499,-0.213797,0.080640,-0.038635,0.006908,0.004939,0.020682,0.005287,0.014257,0.005025,0.040889,0.003834,0.004038,0.005979,0.012464,0.010892,0.023496,0.008800,0.042868,0.101102,0.028998,0.041181,0.116053,0.018474,0.013672,2.009316,0.498092,0.557677,0.348073,0.379390,0.344294,0.319253,0.340667,0.383537,0.338576,0.327769,0.243033,0.150296,0.015243,0.012234,0.027299,0.010950,0.016902,0.010785,0.030280,0.008983,0.009301,0.011959,0.023874,0.024086,0.016899,sirens
0.049879,0.088535,2.896784,0.165747,0.214688,0.557098,0.025297,0.095765,-25.052720,-0.060531,-0.966576,-0.347588,0.009019,0.220137,1.116633,-0.204308,-0.939792,0.404371,0.432079,0.042494,-0.063730,0.000267,0.000199,0.002518,0.000611,0.026362,0.084383,0.013368,0.014175,0.006056,0.000437,0.000419,0.000459,0.033568,0.019167,0.084908,0.447535,0.032779,0.020644,0.285112,0.031265,0.034804,1.926231,0.860652,0.469272,0.721131,0.384879,0.201947,0.248704,0.530997,0.329210,0.469342,0.257919,0.198067,0.154701,0.000299,0.000219,0.002761,0.000777,0.045770,0.090392,0.023440,0.019085,0.009148,0.000352,0.000502,0.000520,0.018025,sirens
0.033072,0.019904,2.943781,0.094818,0.159668,0.150360,0.027651,0.046900,-27.838542,1.771742,0.032477,1.091628,0.302446,0.084435,0.128513,-0.111269,0.232415,0.052716,0.038816,0.047687,-0.015556,0.009219,0.002530,0.086161,0.003378,0.024079,0.002932,0.150095,0.001553,0.005156,0.004531,0.010612,0.002179,0.052394,0.013178,0.017798,0.172015,0.020783,0.031498,0.118555,0.011913,0.028968,0.789374,0.311899,0.235527,0.280225,0.249849,0.237903,0.254415,0.257279,0.298721,0.277074,0.264042,0.252303,0.142116,0.012227,0.005520,0.054819,0.005827,0.019267,0.006432,0.086820,0.004271,0.013129,0.004781,0.007389,0.005223,0.020709,sirens
0.051241,0.071486,3.248945,0.098868,0.130519,0.335119,0.006033,0.065710,-22.235928,0.999145,-1.307660,0.262489,0.812265,-0.147343,0.068312,0.493216,-0.306552,0.049339,0.189293,-0.153014,-0.291495,0.031962,0.003556,0.032962,0.007350,0.010781,0.008639,0.008059,0.001384,0.003496,0.006375,0.015189,0.007724,0.015835,0.008536,0.012321,0.039165,0.017248,0.032368,0.135119,0.003541,0.011554,0.448751,0.319982,0.272826,0.359518,0.253502,0.273480,0.218841,0.204814,0.208996,0.203354,0.207656,0.189183,0.174769,0.019345,0.003702,0.021223,0.007757,0.010643,0.007979,0.006177,0.001676,0.004099,0.004352,0.009293,0.006875,0.006728,sirens
0.060015,0.179202,3.306922,0.122860,0.127752,0.640910,0.008189,0.121297,-22.336012,-0.323712,-0.953036,-0.007581,0.525622,0.219804,-0.192854,0.096643,0.141428,-0.132857,0.068007,0.016742,-0.024946,0.006311,0.008267,0.014764,0.011160,0.004824,0.004704,0.007960,0.007371,0.007357,0.007868,0.011721,0.009087,0.019836,0.012087,0.020550,0.012260,0.016892,0.032853,0.137818,0.004710,0.022030,0.877633,0.513720,0.376146,0.273769,0.255539,0.265210,0.228264,0.270020,0.282440,0.274952,0.246160,0.215956,0.184686,0.010004,0.014439,0.022770,0.014061,0.006719,0.006224,0.011772,0.009477,0.012018,0.011779,0.015444,0.014616,0.015628,sirens
0.032328,0.039088,3.120389,0.085609,0.148066,0.047511,0.019699,0.033575,-27.619493,2.011299,-1.984134,-0.984589,-0.314152,0.545822,-0.695276,-0.494953,-0.284306,0.046293,0.238826,-0.134042,0.055653,0.003534,0.002577,0.001979,0.011417,0.008781,0.014847,0.018208,0.014695,0.021410,0.053686,0.006564,0.005880,0.023092,0.001964,0.030462,0.108143,0.020723,0.034668,0.018003,0.012441,0.001949,1.272180,0.410090,0.241665,0.262752,0.313939,0.323056,0.221169,0.205516,0.119045,0.220063,0.230574,0.180369,0.128222,0.002015,0.003260,0.002483,0.006728,0.012251,0.015662,0.024097,0.022708,0.026751,0.054465,0.005226,0.003830,0.016691,sirens
0.089329,0.177427,3.091282,0.152561,0.159338,0.329008,0.048569,0.097731,-23.824281,0.038196,-2.249884,0.418222,0.434884,-0.155327,0.186742,-0.091473,-0.254504,0.223446,0.060405,-0.024193,-0.049455,0.002573,0.003714,0.005586,0.007208,0.009036,0.016300,0.012609,0.011621,0.015030,0.011750,0.007750,0.010643,0.016298,0.024252,0.072194,0.180654,0.027534,0.026705,0.310824,0.017115,0.024277,1.319831,1.079271,0.572990,1.140866,0.595578,0.871924,0.600914,0.552114,0.420540,0.430933,0.498802,0.311427,0.157236,0.005792,0.007962,0.010979,0.012377,0.013225,0.020286,0.022046,0.020891,0.020222,0.020896,0.015381,0.022809,0.007298,sirens
0.057595,0.004637,3.227576,0.100901,0.132112,0.488499,0.004026,0.091303,-27.682695,1.031300,-0.113191,0.332947,-0.077609,0.127257,0.091108,0.002908,-0.134452,0.109229,-0.006170,0.042875,0.081480,0.007757,0.004628,0.027220,0.010246,0.016989,0.006880,0.044898,0.013122,0.008140,0.011124,0.015922,0.004265,0.018775,0.009997,0.004386,0.049502,0.014445,0.024158,0.135906,0.001382,0.015942,0.450488,0.235197,0.207523,0.184503,0.180251,0.190723,0.172872,0.221560,0.199774,0.185404,0.225139,0.160109,0.152383,0.005767,0.003895,0.014213,0.007372,0.011132,0.005158,0.022676,0.013542,0.007030,0.007735,0.009317,0.003694,0.006300,sirens
