@RELATION svmSMtemp
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE features13 NUMERIC
@ATTRIBUTE features14 NUMERIC
@ATTRIBUTE features15 NUMERIC
@ATTRIBUTE features16 NUMERIC
@ATTRIBUTE features17 NUMERIC
@ATTRIBUTE features18 NUMERIC
@ATTRIBUTE features19 NUMERIC
@ATTRIBUTE features20 NUMERIC
@ATTRIBUTE features21 NUMERIC
@ATTRIBUTE features22 NUMERIC
@ATTRIBUTE features23 NUMERIC
@ATTRIBUTE features24 NUMERIC
@ATTRIBUTE features25 NUMERIC
@ATTRIBUTE features26 NUMERIC
@ATTRIBUTE features27 NUMERIC
@ATTRIBUTE features28 NUMERIC
@ATTRIBUTE features29 NUMERIC
@ATTRIBUTE features30 NUMERIC
@ATTRIBUTE features31 NUMERIC
@ATTRIBUTE features32 NUMERIC
@ATTRIBUTE features33 NUMERIC
@ATTRIBUTE features34 NUMERIC
@ATTRIBUTE features35 NUMERIC
@ATTRIBUTE features36 NUMERIC
@ATTRIBUTE features37 NUMERIC
@ATTRIBUTE features38 NUMERIC
@ATTRIBUTE features39 NUMERIC
@ATTRIBUTE features40 NUMERIC
@ATTRIBUTE features41 NUMERIC
@ATTRIBUTE features42 NUMERIC
@ATTRIBUTE features43 NUMERIC
@ATTRIBUTE features44 NUMERIC
@ATTRIBUTE features45 NUMERIC
@ATTRIBUTE features46 NUMERIC
@ATTRIBUTE features47 NUMERIC
@ATTRIBUTE features48 NUMERIC
@ATTRIBUTE features49 NUMERIC
@ATTRIBUTE features50 NUMERIC
@ATTRIBUTE features51 NUMERIC
@ATTRIBUTE features52 NUMERIC
@ATTRIBUTE features53 NUMERIC
@ATTRIBUTE features54 NUMERIC
@ATTRIBUTE features55 NUMERIC
@ATTRIBUTE features56 NUMERIC
@ATTRIBUTE features57 NUMERIC
@ATTRIBUTE features58 NUMERIC
@ATTRIBUTE features59 NUMERIC
@ATTRIBUTE features60 NUMERIC
@ATTRIBUTE features61 NUMERIC
@ATTRIBUTE features62 NUMERIC
@ATTRIBUTE features63 NUMERIC
@ATTRIBUTE features64 NUMERIC
@ATTRIBUTE features65 NUMERIC
@ATTRIBUTE features66 NUMERIC
@ATTRIBUTE features67 NUMERIC
@ATTRIBUTE features68 NUMERIC
@ATTRIBUTE class {music,speech}

@DATA
0.067544,0.091140,3.200422,0.152299,0.177776,0.569801,0.005228,0.104414,-23.037009,2.047715,0.059759,0.175914,0.049686,0.117128,-0.018182,-0.017601,-0.132774,-0.060548,0.102920,0.013250,-0.038760,0.020187,0.005098,0.035420,0.008867,0.032650,0.015291,0.026220,0.003130,0.007300,0.013010,0.029831,0.008918,0.023635,0.038551,0.029924,0.092959,0.040257,0.023103,0.405542,0.003159,0.087460,0.877016,0.669304,0.466317,0.356535,0.309604,0.270888,0.260512,0.227075,0.228655,0.212637,0.203844,0.211874,0.186131,0.019242,0.005906,0.026411,0.008495,0.022077,0.014789,0.020968,0.004272,0.008706,0.012029,0.024282,0.009417,0.008939,music
0.024691,0.088035,3.097026,0.111413,0.178287,0.159218,0.015522,0.028499,-24.581010,3.239404,0.634618,0.308975,-0.134515,-0.034442,-0.115040,-0.045652,-0.174423,-0.156288,-0.134896,-0.032603,-0.033424,0.014076,0.002773,0.099239,0.012901,0.030548,0.003869,0.066515,0.000567,0.010669,0.021775,0.038832,0.003584,0.048711,0.018510,0.054130,0.131144,0.046846,0.036448,0.187780,0.017995,0.026558,1.412828,0.575566,0.274994,0.269517,0.266450,0.253118,0.241159,0.216610,0.226362,0.277244,0.277269,0.209879,0.179258,0.014763,0.002869,0.064432,0.015839,0.027886,0.004410,0.086199,0.000775,0.012278,0.020276,0.036659,0.004339,0.020454,music
0.041664,0.046996,3.108002,0.125314,0.177640,0.289706,0.007697,0.074302,-24.744888,3.119586,0.174769,0.418434,0.156982,0.336420,-0.098174,-0.042457,0.170911,-0.023782,-0.034409,0.031075,-0.043574,0.016272,0.005096,0.081669,0.008241,0.037680,0.006454,0.061246,0.001080,0.005177,0.014056,0.024406,0.006051,0.034652,0.039555,0.036242,0.150997,0.059500,0.036511,0.380247,0.007061,0.099738,1.455934,0.500967,0.356956,0.300604,0.229000,0.222560,0.220931,0.200888,0.223215,0.187426,0.176888,0.185140,0.179769,0.015670,0.004582,0.059392,0.006892,0.022917,0.007048,0.047457,0.001834,0.004534,0.012287,0.016654,0.005675,0.015387,music
0.047495,0.099033,3.147585,0.147530,0.191204,0.326420,0.009455,0.064001,-23.311781,2.720525,0.174014,0.095006,0.006509,0.143831,-0.017906,0.074288,0.000002,0.140203,0.047858,0.170032,0.105798,0.014394,0.002889,0.062944,0.005862,0.025442,0.007257,0.132778,0.001771,0.007125,0.012363,0.022564,0.006893,0.046839,0.041475,0.045194,0.110398,0.056110,0.023889,0.373132,0.007350,0.086754,1.056104,0.506973,0.608112,0.376647,0.357428,0.318702,0.256786,0.266375,0.234786,0.243639,0.230073,0.236547,0.231132,0.013469,0.004734,0.049556,0.006496,0.019332,0.009156,0.084147,0.003420,0.009089,0.013126,0.021000,0.010819,0.019992,music
0.049406,0.087943,3.130016,0.142807,0.182941,0.410097,0.009220,0.074989,-23.215280,1.889818,-0.155739,0.231950,0.051254,0.103426,0.096463,0.030751,-0.113658,-0.043954,0.020429,0.052015,0.029577,0.008886,0.003280,0.077489,0.012421,0.019868,0.010712,0.085795,0.002953,0.005171,0.009908,0.032107,0.003458,0.041658,0.029392,0.053817,0.156817,0.041785,0.026575,0.290793,0.006506,0.058545,1.031873,0.599776,0.458076,0.416886,0.309531,0.308763,0.279568,0.255662,0.259252,0.241011,0.253014,0.241112,0.210569,0.009757,0.004676,0.053403,0.012677,0.017899,0.012849,0.066468,0.004642,0.005764,0.009789,0.030786,0.004869,0.017174,music
0.060163,0.075912,3.070162,0.183177,0.216545,0.396748,0.013252,0.083986,-24.806045,2.784969,0.309887,0.193717,-0.239824,0.132441,0.150785,0.190310,0.056967,-0.017154,-0.085701,-0.120607,-0.107339,0.021679,0.012144,0.045432,0.023658,0.012588,0.008038,0.125674,0.001296,0.002420,0.010297,0.037270,0.009941,0.049033,0.049830,0.067737,0.235288,0.058961,0.025909,0.429617,0.014230,0.111052,1.513912,0.655050,0.325219,0.284438,0.297535,0.239185,0.228108,0.232499,0.210827,0.204832,0.219460,0.213469,0.218262,0.020700,0.014528,0.037807,0.025009,0.011448,0.010951,0.112825,0.001527,0.003016,0.010402,0.034618,0.009364,0.026704,music
0.053863,0.099304,3.153121,0.147008,0.185521,0.382092,0.008261,0.091258,-22.878067,2.752049,0.102454,0.091363,-0.092311,0.041401,-0.143065,-0.124716,-0.097213,-0.052620,0.044191,0.088691,0.043727,0.014855,0.003817,0.053778,0.015143,0.028542,0.009819,0.067037,0.002617,0.010621,0.013588,0.035304,0.005299,0.034050,0.045819,0.039508,0.107234,0.069489,0.035425,0.423711,0.005817,0.114388,0.966402,0.597259,0.506619,0.429553,0.347317,0.304169,0.299959,0.282083,0.296611,0.268946,0.254961,0.239061,0.214432,0.015047,0.006236,0.039209,0.015010,0.023271,0.011729,0.054771,0.004581,0.011667,0.011981,0.028790,0.007340,0.013786,music
0.041922,0.046042,3.179399,0.128780,0.185270,0.246901,0.006983,0.048722,-24.020551,2.574280,0.022272,0.178610,-0.018179,0.165652,0.039526,0.088042,-0.018815,0.011219,-0.075973,-0.055110,-0.046034,0.011339,0.013059,0.056923,0.018904,0.019684,0.017368,0.050656,0.001445,0.004482,0.020096,0.034138,0.006164,0.033167,0.018139,0.018598,0.124227,0.031505,0.024331,0.169458,0.006366,0.031781,0.898443,0.416593,0.421369,0.321293,0.277319,0.266090,0.277010,0.262164,0.251562,0.235957,0.253669,0.237504,0.236095,0.012050,0.013490,0.035815,0.020280,0.016906,0.017014,0.038301,0.002065,0.005240,0.017046,0.021671,0.007704,0.010648,music
0.055156,0.073168,3.134598,0.150364,0.187293,0.426055,0.008556,0.088468,-23.346802,2.732076,0.127698,0.118570,-0.047420,-0.047748,0.013758,-0.010890,-0.224550,-0.072716,-0.019860,0.047345,-0.066423,0.023479,0.006013,0.035739,0.017390,0.024254,0.011467,0.065491,0.003034,0.009006,0.016496,0.032031,0.005825,0.032667,0.050494,0.038883,0.140995,0.064411,0.029346,0.501299,0.006572,0.118856,1.224065,0.699428,0.546386,0.404695,0.316199,0.327997,0.276062,0.271476,0.246572,0.236838,0.229522,0.219724,0.204708,0.019022,0.006770,0.030493,0.016268,0.021900,0.012579,0.059053,0.004488,0.009105,0.015636,0.030772,0.008100,0.016477,music
0.069291,0.089206,3.098406,0.175449,0.197782,0.585303,0.008269,0.107428,-23.475993,2.127062,0.427946,0.209440,0.089104,-0.003214,0.077808,0.065613,0.083490,0.069306,-0.057872,0.012326,-0.087092,0.017893,0.003776,0.062293,0.010802,0.013352,0.004150,0.049842,0.001433,0.003855,0.012682,0.075159,0.006560,0.039255,0.050449,0.054647,0.192336,0.053446,0.025238,0.489840,0.006672,0.113055,1.237210,0.649597,0.593342,0.443205,0.384492,0.316325,0.284688,0.270583,0.258517,0.246358,0.254270,0.227417,0.215510,0.016128,0.005425,0.051959,0.012741,0.010502,0.005694,0.050792,0.002639,0.005072,0.013915,0.069314,0.009969,0.018069,music
